Postal.Code,Count,Block,OnemapLongitude,OnemapLatitude
760174,30,174 ,103.831939137109,1.43739545335207
760114,11,114 ,103.827020312888,1.43413792566359
760162,10,162 ,103.832397917463,1.43305540741239
760166,10,166 ,103.831606580876,1.43628386057838
760156,9,156 ,103.833567756794,1.43188761932588
760277,7,277 ,103.836994608643,1.43791843653816
760274,5,274 ,103.839039880371,1.4374586662622
760106,5,106 ,103.827452004212,1.43147861432349
760279,4,279 ,103.837384298272,1.43837258876623
760161,4,161 ,103.833132900961,1.4327862752601
760151,3,151 ,103.83426814362,1.4308063369681
760130,3,130 ,103.831330838156,1.43352498091281
760101,3,101 ,103.827667722074,1.4305357538408
760278,3,278 ,103.838226869973,1.43831415037996
760116,3,116 ,103.82813490143,1.43502750249052
760139,3,139 ,103.831319107107,1.43165616021317
760141,3,141 ,103.830000816371,1.43089700238255
762115,3,115B,103.82711777039,1.43339605588677
760167,3,167 ,103.832356503845,1.43661282967317
